city,cases,deaths,codigo_ibge,latitude,longitude,date,day,case_day,death_day,%var_case_day,%var_death_day,avg7_cases,avg7_deaths,perc_death,avg7_perc_death
santo andre,40.0,0.0,3547809.0,-23.6737,-46.5432,2020-03-29,4,3,0,-85.0,0.0,0.0,0.0,0.0,0.0
santos,1.0,0.0,3548500.0,-23.9535,-46.335,2020-03-29,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sao bernardo do campo,33.0,1.0,3548708.0,-23.6914,-46.5646,2020-03-29,4,2,1,-87.5,0.0,0.0,0.0,3.03,0.0
sao caetano do sul,26.0,0.0,3548807.0,-23.6229,-46.5548,2020-03-29,4,2,0,-75.0,0.0,0.0,0.0,0.0,0.0
sao jose do rio preto,1.0,0.0,3549805.0,-20.8113,-49.3758,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sao jose dos campos,4.0,0.0,3549904.0,-23.1896,-45.8841,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sao paulo,1183.0,89.0,3550308.0,-23.5329,-46.6395,2020-03-29,4,34,13,-67.62,0.0,0.0,0.0,7.52,0.0
sao pedro,1.0,0.0,3550407.0,-22.5483,-47.9096,2020-03-29,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sao sebastiao,2.0,0.0,3550704.0,-23.7951,-45.4143,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
sorocaba,3.0,1.0,3552205.0,-23.4969,-47.4451,2020-03-29,3,0,0,-100.0,-100.0,0.0,0.0,33.33,0.0
suzano,1.0,0.0,3552502.0,-23.5448,-46.3112,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
taboao da serra,3.0,1.0,3552809.0,-23.6019,-46.7526,2020-03-29,4,0,0,-100.0,0.0,0.0,0.0,33.33,0.0
tatui,1.0,0.0,3554003.0,-23.3487,-47.8461,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
taubate,1.0,0.0,3554102.0,-23.0104,-45.5593,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
valinhos,1.0,0.0,3556206.0,-22.9698,-46.9974,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
vargem grande paulista,2.0,1.0,3556453.0,-23.5993,-47.022,2020-03-29,4,0,0,0.0,0.0,0.0,0.0,50.0,0.0
0,16.0,0.0,0.0,0.0,0.0,2020-03-29,10,12,-1,-150.0,-200.0,2.0,0.0,0.0,3.57
0,27.0,0.0,0.0,0.0,0.0,2020-03-29,11,11,0,-8.33,-100.0,3.0,0.0,0.0,3.57
0,4.0,1.0,0.0,0.0,0.0,2020-03-29,12,-23,1,-309.09,0.0,-3.0,0.0,25.0,7.14
aruja,1.0,0.0,3503901.0,-23.3965,-46.32,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
barueri,6.0,0.0,3505708.0,-23.5057,-46.879,2020-03-30,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
brodowski,1.0,0.0,3507803.0,-20.9845,-47.6572,2020-03-30,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
caieiras,3.0,0.0,3509007.0,-23.3607,-46.7397,2020-03-30,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
cajamar,1.0,0.0,3509205.0,-23.355,-46.8781,2020-03-30,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
campinas,11.0,0.0,3509502.0,-22.9053,-47.0659,2020-03-30,5,1,0,-50.0,0.0,0.0,0.0,0.0,0.0
carapicuiba,3.0,0.0,3510609.0,-23.5235,-46.8407,2020-03-30,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0
cotia,6.0,0.0,3513009.0,-23.6022,-46.919,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
diadema,2.0,0.0,3513801.0,-23.6813,-46.6205,2020-03-30,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
embu das artes,3.0,1.0,3515004.0,-23.6437,-46.8579,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,33.33,0.0
ferraz de vasconcelos,3.0,0.0,3515707.0,-23.5411,-46.371,2020-03-30,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
guarulhos,14.0,2.0,3518800.0,-23.4538,-46.5333,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,14.29,0.0
hortolandia,1.0,0.0,3519071.0,-22.8529,-47.2143,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
iracemapolis,1.0,0.0,3521408.0,-22.5832,-47.523,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
itapevi,1.0,0.0,3522505.0,-23.5488,-46.9327,2020-03-30,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
itupeva,1.0,0.0,3524006.0,-23.1526,-47.0593,2020-03-30,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jaguariuna,1.0,0.0,3524709.0,-22.7037,-46.9851,2020-03-30,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jandira,1.0,0.0,3525003.0,-23.5275,-46.9023,2020-03-30,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
